"block","item_no","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","ANSWER","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"orthogonal","151","tco5","tc","o","t5","khw5","kh","w","t5","same","tco","khw","tc_kh","o_w","t5t5","tco_khw","t5t5","kh_tc","o_w","khw_tco"
"orthogonal","152","wua2","w","ua","t2","khw4","kh","w","t4","diff","wua","khw","w_kh","ua_w","t2t4","wua_khw","t2t4","kh_w","ua_w","khw_wua"
"orthogonal","153","wua1","w","ua","t1","khw1","kh","w","t1","same","wua","khw","w_kh","ua_w","t1t1","wua_khw","t1t1","kh_w","ua_w","khw_wua"
"orthogonal","154","tco3","tc","o","t3","thia3","th","ia","t3","same","tco","thia","tc_th","o_ia","t3t3","tco_thia","t3t3","tc_th","ia_o","tco_thia"
"orthogonal","155","tco5","tc","o","t5","wua5","w","ua","t5","same","tco","wua","tc_w","o_ua","t5t5","tco_wua","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","156","thia2","th","ia","t2","wua3","w","ua","t3","diff","thia","wua","th_w","ia_ua","t2t3","thia_wua","t2t3","th_w","ia_ua","thia_wua"
"orthogonal","157","thia2","th","ia","t2","khw4","kh","w","t4","diff","thia","khw","th_kh","ia_w","t2t4","thia_khw","t2t4","kh_th","ia_w","khw_thia"
"orthogonal","158","khw3","kh","w","t3","tco3","tc","o","t3","same","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","159","wua1","w","ua","t1","thia1","th","ia","t1","same","wua","thia","w_th","ua_ia","t1t1","wua_thia","t1t1","th_w","ia_ua","thia_wua"
"orthogonal","161","khw4","kh","w","t4","wua3","w","ua","t3","diff","khw","wua","kh_w","w_ua","t4t3","khw_wua","t3t4","kh_w","ua_w","khw_wua"
"orthogonal","162","tco3","tc","o","t3","thia4","th","ia","t4","diff","tco","thia","tc_th","o_ia","t3t4","tco_thia","t3t4","tc_th","ia_o","tco_thia"
"orthogonal","163","wua4","w","ua","t4","tco4","tc","o","t4","same","wua","tco","w_tc","ua_o","t4t4","wua_tco","t4t4","tc_w","o_ua","tco_wua"
