"block","item_no","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","ANSWER","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"orthogonal","62","khw2","kh","w","t2","tco2","tc","o","t2","same","khw","tco","kh_tc","w_o","t2t2","khw_tco","t2t2","kh_tc","o_w","khw_tco"
"orthogonal","63","khw5","kh","w","t5","tco5","tc","o","t5","same","khw","tco","kh_tc","w_o","t5t5","khw_tco","t5t5","kh_tc","o_w","khw_tco"
"orthogonal","64","tco4","tc","o","t4","wua4","w","ua","t4","same","tco","wua","tc_w","o_ua","t4t4","tco_wua","t4t4","tc_w","o_ua","tco_wua"
"orthogonal","65","thia1","th","ia","t1","khw4","kh","w","t4","diff","thia","khw","th_kh","ia_w","t1t4","thia_khw","t1t4","kh_th","ia_w","khw_thia"
"orthogonal","66","wua1","w","ua","t1","thia1","th","ia","t1","same","wua","thia","w_th","ua_ia","t1t1","wua_thia","t1t1","th_w","ia_ua","thia_wua"
"orthogonal","67","wua2","w","ua","t2","khw1","kh","w","t1","diff","wua","khw","w_kh","ua_w","t2t1","wua_khw","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","68","thia5","th","ia","t5","wua5","w","ua","t5","same","thia","wua","th_w","ia_ua","t5t5","thia_wua","t5t5","th_w","ia_ua","thia_wua"
"orthogonal","69","wua5","w","ua","t5","thia1","th","ia","t1","diff","wua","thia","w_th","ua_ia","t5t1","wua_thia","t1t5","th_w","ia_ua","thia_wua"
"orthogonal","70","thia2","th","ia","t2","tco5","tc","o","t5","diff","thia","tco","th_tc","ia_o","t2t5","thia_tco","t2t5","tc_th","ia_o","tco_thia"
"orthogonal","71","tco4","tc","o","t4","thia2","th","ia","t2","diff","tco","thia","tc_th","o_ia","t4t2","tco_thia","t2t4","tc_th","ia_o","tco_thia"
"orthogonal","72","thia4","th","ia","t4","wua5","w","ua","t5","diff","thia","wua","th_w","ia_ua","t4t5","thia_wua","t4t5","th_w","ia_ua","thia_wua"
"orthogonal","73","khw3","kh","w","t3","thia5","th","ia","t5","diff","khw","thia","kh_th","w_ia","t3t5","khw_thia","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","74","tco3","tc","o","t3","thia3","th","ia","t3","same","tco","thia","tc_th","o_ia","t3t3","tco_thia","t3t3","tc_th","ia_o","tco_thia"
"orthogonal","75","wua3","w","ua","t3","khw3","kh","w","t3","same","wua","khw","w_kh","ua_w","t3t3","wua_khw","t3t3","kh_w","ua_w","khw_wua"
"orthogonal","76","wua5","w","ua","t5","tco5","tc","o","t5","same","wua","tco","w_tc","ua_o","t5t5","wua_tco","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","77","khw1","kh","w","t1","wua2","w","ua","t2","diff","khw","wua","kh_w","w_ua","t1t2","khw_wua","t1t2","kh_w","ua_w","khw_wua"
